id,SMILES,bp_K,ValidMol,RDKit_InChIKey,MolWt,ExactMolWt,MolLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,RingCount,AromaticRingCount,AliphaticRingCount,HeterocycleCount,FractionCarbonSP3,HeavyAtomCount,HeteroatomCount,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge
1760,CCC(C)=NO,425.75,True,WHIVNJATOVLWBW-UHFFFAOYSA-N,87.12199999999999,87.068413908,1.2465,32.59,1,2,1,0,0,0,0,0.75,6,2,36,0,0.05368003022376739,-0.41091380446634346
1761,CNC(=O)NC,543.25,True,MGJKQDOBUOMPEZ-UHFFFAOYSA-N,88.11,88.063662876,-0.4548000000000001,41.13,2,1,0,0,0,0,0,0.6666666666666666,6,3,36,0,0.3137681860809529,-0.34124570832758877
1762,COC(CBr)=O,414.25,True,YDCHPLOFQATIDS-UHFFFAOYSA-N,152.975,151.9472915,0.5543,26.3,0,2,1,0,0,0,0,0.6666666666666666,6,3,36,0,0.3157793690929571,-0.4683822634799806
1763,COC(CCl)=O,403.25,True,QABLOFMHHSOFRJ-UHFFFAOYSA-N,108.524,107.99780708,0.39819999999999994,26.3,0,2,1,0,0,0,0,0.6666666666666666,6,3,36,0,0.3200973263289567,-0.4681209560796875
1764,CC(C)(C)c(ccc1O)cc1C(C)(C)C,536.75,True,ICKWICRCANNIBI-UHFFFAOYSA-N,206.32899999999995,206.167065324,3.987200000000003,20.23,1,1,0,1,1,0,0,0.5714285714285714,15,1,84,0,0.11881889831958155,-0.5076537926393321
1765,Clc1ccc(cc1N(=O)=O)N(=O)=O,588.25,True,VYZAHLCBVHPDDF-UHFFFAOYSA-N,202.55299999999997,201.978134256,2.1564000000000005,86.28,0,4,2,1,1,0,0,0.0,13,7,68,0,0.2942478961038835,-0.25830596631355957
1766,CCOP(OCC)(Oc1ccc(Cl)cc1Cl)=S,442.25,True,WGOWCPGHOCIHBW-UHFFFAOYSA-N,315.158,313.97000726600004,4.669700000000002,27.69,0,4,6,1,1,0,0,0.4,17,7,96,0,0.38009585232980386,-0.4225250650919365
1767,CCOC(C(C)C)=O,386.25,True,WDAXFOBOLVPGLV-UHFFFAOYSA-N,116.15999999999998,116.083729624,1.2055,26.3,0,2,2,0,0,0,0,0.8333333333333334,8,2,48,0,0.30785106891033664,-0.465780805159007
1768,CCOC(=O)C(C)=C,390.25,True,SUPCQIBBMFXVTL-UHFFFAOYSA-N,114.14399999999999,114.06807956,1.1256000000000002,26.3,0,2,2,0,0,0,0,0.5,8,2,46,0,0.3325927183895292,-0.46264858702008466
1769,CCOC(C(O)C)=O,427.25,True,LZCLXQDLBQLTDK-UHFFFAOYSA-N,118.13199999999998,118.06299418,-0.06970000000000004,46.53,1,3,2,0,0,0,0,0.8,8,3,48,0,0.33414768930295624,-0.464078219287178
1770,OC(=O)CC(=C)C(O)=O,541.25,True,LVHBHZANLOWSRM-UHFFFAOYSA-N,130.099,130.026608672,0.10190000000000005,74.6,2,2,3,0,0,0,0,0.2,9,4,50,0,0.33104999328821094,-0.4809831571808089
1771,OC(CC(O)=O)C(O)=O,498.25,True,BJEPYKJPYRNKOW-UHFFFAOYSA-N,134.08699999999996,134.021523292,-1.0934000000000001,94.83000000000001,3,3,3,0,0,0,0,0.5,9,5,52,0,0.33263479541275126,-0.48114714652829127
1772,CC(C)C(OC(C(C)C)=O)=O,454.75,True,LSACYLWPPQLVSM-UHFFFAOYSA-N,158.19699999999997,158.094294308,1.3681999999999999,43.370000000000005,0,3,2,0,0,0,0,0.75,11,3,64,0,0.3155182135501634,-0.39276162724339664
1773,CC(C)COC(C(C)C)=O,421.85,True,RXGUIWHIADMCFC-UHFFFAOYSA-N,144.21399999999997,144.115029752,1.8416000000000001,26.3,0,2,3,0,0,0,0,0.875,10,2,60,0,0.30787097579871536,-0.4652133415325127
1774,CC(C)COC(=O)C(C)=C,428.25,True,RUMACXVDVNRZJZ-UHFFFAOYSA-N,142.19799999999995,142.099379688,1.7617,26.3,0,2,3,0,0,0,0,0.625,10,2,58,0,0.3326126336379052,-0.4620811072518887
1775,CCCCOC(C(C)C)=O,431.25,True,JSLCOZYBKYHZNL-UHFFFAOYSA-N,144.21399999999997,144.115029752,1.9857,26.3,0,2,4,0,0,0,0,0.875,10,2,60,0,0.3078611571334433,-0.465486789009635
1776,CCCCOC(=O)C(C)=C,433.25,True,SOGAXMICEFXMKE-UHFFFAOYSA-N,142.19799999999995,142.099379688,1.9058,26.3,0,2,4,0,0,0,0,0.625,10,2,58,0,0.3326028108418095,-0.4623545619125935
1777,CC[Al](CC)CC,467.25,True,VOITXYVAKOUIBA-UHFFFAOYSA-N,114.16799999999999,114.09891411000001,2.5409000000000006,0.0,0,0,3,0,0,0,0,1.0,7,1,42,0,0.2605057258927617,-0.0967219740241396
1778,CCB(CC)CC,368.25,True,LALRXNPLTWZJIJ-UHFFFAOYSA-N,97.99799999999999,98.12668088000001,2.5409000000000006,0.0,0,0,3,0,0,0,0,1.0,7,1,42,0,0.13855041269244175,-0.07702034901445667
1779,OCC(CC)CC,419.52,True,TZYRSLHNPKPEFV-UHFFFAOYSA-N,102.177,102.104465068,1.4149,20.23,1,1,3,0,0,0,0,1.0,7,1,44,0,0.04585607462077599,-0.3960885353755221
1780,CCC(CC)C=O,390.25,True,UNNGUFMVYQJGTD-UHFFFAOYSA-N,100.16099999999999,100.088815004,1.6215,17.07,0,1,3,0,0,0,0,0.8333333333333334,7,1,42,0,0.1225469922786831,-0.3030895825634756
1781,OCc1occc1,444.25,True,XPFVYQJUAUNWIW-UHFFFAOYSA-N,98.10099999999998,98.036779432,0.7719,33.370000000000005,1,2,1,1,1,0,1,0.2,7,2,38,0,0.12864401421936308,-0.46690881342439633
1782,O=Cc1occc1,434.95,True,HYBBIBNJHNGZAN-UHFFFAOYSA-N,96.08499999999998,96.021129368,1.0921,30.21,0,2,1,1,1,0,1,0.0,7,2,36,0,0.18480086649586971,-0.4615648134016627
